,name,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats,car_age,price_per_km
3559,Fiat Avventura Power Up 1.3 Emotion,500000,96500,Diesel,Individual,Manual,First Owner,20.5,1248.0,91.72,5.0,10,24390.243902439026
3560,Maruti Wagon R LXI BSIII,340000,52412,Petrol,Dealer,Manual,First Owner,18.9,998.0,67.1,5.0,8,17989.41798941799
3561,Mahindra Scorpio SLE BS IV,480000,85472,Diesel,Dealer,Manual,First Owner,12.05,2179.0,120.0,8.0,13,39834.02489626556
3562,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,480000,87452,Diesel,Dealer,Manual,Second Owner,22.77,1498.0,98.59,5.0,12,21080.368906455864
3563,Ford EcoSport 1.5 Diesel Ambiente BSIV,750000,17000,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5.0,7,32608.695652173912
3564,Maruti Wagon R LXI Minor,100000,66530,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,17,5291.005291005292
3565,Hyundai i20 Magna,290000,40000,Petrol,Individual,Manual,First Owner,18.5,1197.0,82.85,5.0,12,15675.675675675675
3566,Fiat Avventura Power Up 1.3 Emotion,425000,96500,Diesel,Individual,Manual,First Owner,20.5,1248.0,91.72,5.0,10,20731.70731707317
3567,Honda City V MT,285000,79000,Petrol,Individual,Manual,First Owner,16.8,1497.0,116.3,5.0,15,16964.285714285714
3568,Mahindra TUV 300 mHAWK100 T8,625000,50000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,7.0,9,33802.05516495403
3569,Fiat Grande Punto Active (Diesel),170000,60000,Diesel,Individual,Manual,Second Owner,20.3,1248.0,75.0,5.0,13,8374.384236453201
3570,Tata Zest Revotron 1.2T XMS,459999,35000,Petrol,Individual,Manual,First Owner,17.57,1193.0,88.7,5.0,7,26180.933409220263
3571,Fiat Avventura MULTIJET Emotion,450000,120000,Diesel,Individual,Manual,First Owner,20.5,1248.0,91.72,5.0,10,21951.219512195123
3572,Maruti Swift Dzire AMT VXI,650000,10000,Petrol,Individual,Automatic,First Owner,21.21,1197.0,81.8,5.0,6,30645.921735030646
3573,Hyundai i20 Active 1.2 S,600000,15000,Petrol,Individual,Manual,First Owner,17.19,1197.0,81.86,5.0,8,34904.01396160558
3574,Maruti Alto 800 CNG LXI,178000,70000,CNG,Individual,Manual,Second Owner,30.46,796.0,47.3,5.0,12,5843.729481286933
3575,Maruti Alto 800 LXI,300000,5000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,9,13192.612137203167
3576,Maruti Alto LXi,150000,40000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5.0,16,7614.213197969543
3577,Hyundai Elite i20 Petrol Magna Exective,590000,10000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.86,5.0,6,31720.430107526878
3578,Hyundai EON Era Plus,310000,25000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5.0,9,14691.943127962084
3579,Tata Zest Revotron 1.2T XMS,400000,53000,Petrol,Individual,Manual,First Owner,17.57,1193.0,88.7,5.0,8,22766.078542970972
3580,Mahindra Scorpio LX,520000,110000,Diesel,Individual,Manual,Second Owner,12.05,2179.0,120.0,9.0,11,43153.52697095436
3581,Ashok Leyland Stile LE,300000,200000,Diesel,Individual,Manual,Second Owner,20.07,1461.0,75.0,8.0,12,14947.683109118087
3582,Mahindra XUV300 W8 Option BSIV,1000000,22000,Petrol,Individual,Manual,First Owner,17.0,1197.0,110.0,5.0,6,58823.529411764706
3583,Maruti Wagon R VXI,65000,70000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,998.0,67.1,5.0,22,3439.153439153439
3584,Honda Amaze VX i-DTEC,509999,75000,Diesel,Individual,Manual,Second Owner,25.8,1498.0,98.6,5.0,10,19767.403100775195
3585,Maruti Wagon R VXI BSIII,221000,70000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,5.0,13,11693.121693121693
3586,Volkswagen Vento 1.6 Highline,390000,64000,Petrol,Individual,Manual,Third Owner,15.04,1598.0,103.2,5.0,11,25930.85106382979
3587,Maruti Gypsy King Soft Top MPI BSIV,350000,60000,Petrol,Individual,Manual,First Owner,11.96,1298.0,80.0,8.0,23,29264.21404682274
3588,Maruti Alto LXi,195000,40000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5.0,16,9898.477157360407
3589,Audi Q7 3.0 TDI Quattro,1750000,110000,Diesel,Individual,Automatic,Second Owner,12.07,2967.0,241.4,7.0,15,144987.57249378625
3590,Mahindra Scorpio VLX 2WD AIRBAG BSIII,600000,60000,Diesel,Individual,Manual,First Owner,12.05,2179.0,120.0,8.0,12,49792.53112033195
3591,Hyundai i20 Sportz Option 1.4 CRDi,615000,72000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,10,27284.82697426797
3592,Hyundai i20 Magna 1.4 CRDi (Diesel),350000,70000,Diesel,Individual,Manual,Second Owner,21.9,1396.0,88.76,5.0,12,15981.735159817352
3593,Chevrolet Beat Diesel LS,140000,75000,Diesel,Individual,Manual,First Owner,25.44,936.0,57.6,5.0,13,5503.14465408805
3594,Hyundai i20 1.4 Sportz,650000,32331,Diesel,Individual,Manual,Second Owner,22.54,1396.0,88.73,5.0,8,28837.62200532387
3595,Hyundai Creta 1.6 CRDi SX Plus,1100000,70000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0,9,55922.72496187087
3596,Hyundai i20 1.4 CRDi Sportz,285000,80000,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5.0,15,12391.304347826086
3597,Chevrolet Spark 1.0 LT,190000,20000,Petrol,Individual,Manual,Second Owner,18.0,995.0,62.0,5.0,14,10555.555555555555
3598,Nissan Sunny XL,350000,110000,Petrol,Individual,Manual,First Owner,16.95,1498.0,97.7,5.0,13,20648.96755162242
3599,Hyundai Grand i10 Asta,400000,40000,Petrol,Individual,Manual,Second Owner,18.9,1197.0,82.0,5.0,11,21164.021164021167
3600,Toyota Innova Crysta 2.7 ZX AT BSIV,2100000,40000,Petrol,Individual,Automatic,First Owner,10.75,2694.0,163.7,7.0,9,195348.83720930232
3601,Hyundai i20 Sportz 1.2,434999,90000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5.0,10,23387.043010752688
3602,Maruti Swift Dzire VXI,450000,50000,Petrol,Individual,Manual,Second Owner,19.1,1197.0,85.8,5.0,11,23560.20942408377
3603,Daewoo Matiz SD,45000,137000,Petrol,Individual,Manual,First Owner,18.5,796.0,53.0,5.0,24,2432.4324324324325
3604,Hyundai i20 Asta 1.2,450000,60000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,10,24193.548387096773
3605,Maruti Swift VDI Optional,580000,30000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5.0,8,23015.873015873018
3606,Hyundai Creta 1.6 CRDi SX,900000,98000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0,9,45754.956786985254
3607,Maruti Ertiga SHVS ZDI,750000,50000,Diesel,Individual,Manual,First Owner,24.52,1248.0,88.5,7.0,9,30587.27569331158
3608,Tata Indigo CS LS (TDI) BS III,140000,120000,Diesel,Individual,Manual,Third Owner,19.09,1396.0,69.0,5.0,16,7333.682556312206
3609,Hyundai Grand i10 1.2 Kappa Sportz BSIV,525000,30000,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5.0,8,27777.77777777778
3610,Tata Indigo CS LS (TDI) BS III,114999,120000,Diesel,Individual,Manual,Third Owner,19.09,1396.0,69.0,5.0,16,6024.044002095338
3611,Tata Tiago 1.2 Revotron XZ,399000,40000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,5.0,9,16736.577181208053
3612,Hyundai Santro Xing XL eRLX Euro II,150000,100000,Petrol,Individual,Manual,Second Owner,19.41878335651954,1428.1927441027171,87.30303358208954,5.0,19,7724.479811431644
3613,Tata Indica V2 Turbomax DLS BS IV,275000,90000,Diesel,Individual,Manual,Second Owner,19.0,1405.0,71.0,5.0,13,14473.684210526315
3614,Hyundai i20 1.4 CRDi Magna,340000,80000,Diesel,Individual,Manual,Second Owner,21.9,1396.0,90.0,5.0,14,15525.114155251142
3615,Hyundai EON LPG Era Plus,222000,120000,LPG,Individual,Manual,First Owner,21.1,814.0,55.2,5.0,13,10521.327014218008
3616,Mahindra Ssangyong Rexton RX7,850000,200000,Diesel,Individual,Automatic,First Owner,11.18,2696.0,184.0,7.0,12,76028.62254025045
3617,Tata Indica V2 DLS,70000,110000,Diesel,Individual,Manual,Second Owner,17.2,1396.0,53.5,5.0,18,4069.767441860465
3618,Tata Tiago 1.2 Revotron XT,430000,38000,Petrol,Individual,Manual,Second Owner,23.84,1199.0,84.0,5.0,8,18036.912751677854
3619,Tata Tiago 1.2 Revotron XT,430000,35000,Petrol,Individual,Manual,Second Owner,23.84,1199.0,84.0,5.0,8,18036.912751677854
3620,Maruti Wagon R VXI BS IV,320000,70000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,11,15602.145294978058
3621,Hyundai Santro Xing XG,95000,125000,Petrol,Individual,Manual,Fourth & Above Owner,19.41878335651954,1428.1927441027171,87.30303358208954,5.0,20,4892.170547240041
3622,Renault Fluence Diesel E4,500000,120000,Diesel,Individual,Manual,Second Owner,21.8,1461.0,78.0,5.0,13,22935.77981651376
3623,Renault Duster 110PS Diesel RxL,500000,110000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,13,26301.946344029457
3624,Tata Indica Vista Aura Plus 1.3 Quadrajet BS IV,229999,140000,Diesel,Individual,Manual,First Owner,18.4,1248.0,75.0,5.0,15,12499.945652173914
3625,Mahindra Scorpio VLS AT 2.2 mHAWK,600000,155000,Diesel,Individual,Automatic,Second Owner,11.79,2179.0,120.0,8.0,16,50890.58524173028
3626,Hyundai Santro Xing XL,200000,120000,Petrol,Individual,Manual,Second Owner,19.41878335651954,1428.1927441027171,87.30303358208954,5.0,18,10299.306415242192
3627,Renault Pulse RxL Optional,500000,80000,Diesel,Individual,Manual,Second Owner,23.08,1461.0,63.1,5.0,8,21663.778162911614
3628,Mahindra Bolero SLX 2WD,315000,120000,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63.0,7.0,15,23161.764705882353
3629,Maruti Wagon R VXI Minor,265000,80000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,5.0,14,14021.164021164022
3630,Ford Figo 1.5D Base MT,350000,110000,Diesel,Individual,Manual,Second Owner,25.83,1498.0,99.0,5.0,10,13550.135501355015
3631,Tata Indigo CR4,200000,230000,Diesel,Individual,Manual,First Owner,23.57,1396.0,70.0,5.0,13,8485.36274925753
3632,Tata Indica V2 DLE BSIII,114999,172000,Diesel,Individual,Manual,Second Owner,17.88,1396.0,52.8,5.0,14,6431.7114093959735
3633,Hyundai i20 Magna 1.2,425000,25000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,11,22849.462365591397
3634,Ford EcoSport 1.5 Diesel Trend BSIV,900000,35000,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5.0,6,39130.434782608696
3635,Mahindra Scorpio 2009-2014 SLE 7S BSIV,550000,126000,Diesel,Individual,Manual,First Owner,12.05,2179.0,120.0,7.0,11,45643.15352697095
3636,Honda WR-V i-DTEC VX,900000,30000,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5.0,7,35294.117647058825
3637,Hyundai i10 Era,165000,97000,Petrol,Individual,Manual,Third Owner,19.81,1086.0,68.05,5.0,14,8329.126703685008
3638,Hyundai Verna 1.6 CRDI AT SX Option,850000,120000,Diesel,Individual,Automatic,First Owner,19.08,1582.0,126.2,5.0,9,44549.266247379455
3639,Hyundai Verna 1.6 CRDi S Option,850000,120000,Diesel,Individual,Manual,First Owner,23.9,1582.0,126.32,5.0,9,35564.85355648536
3640,Mahindra Thar CRDe AC,550000,80000,Diesel,Individual,Manual,Second Owner,16.55,2498.0,105.0,6.0,11,33232.62839879154
3641,Maruti Swift Dzire Vdi BSIV,500000,60000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0,14,25906.735751295335
3642,Hyundai i10 Era,160000,60000,Petrol,Individual,Manual,First Owner,19.81,1086.0,68.05,5.0,14,8076.728924785462
3643,Honda City i DTEC VX,670000,60000,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,5.0,10,26693.227091633464
3644,Maruti Swift ZDi,430000,90000,Diesel,Individual,Manual,First Owner,22.9,1248.0,74.0,5.0,11,18777.292576419215
3645,Hyundai Xcent 1.2 Kappa Base,375000,30000,Petrol,Individual,Manual,First Owner,19.1,1197.0,82.0,5.0,10,19633.507853403138
3646,Hyundai i20 Asta Option 1.2,650000,35000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,9,34946.23655913978
3647,Maruti Swift Dzire LDI,500000,35000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,9,18804.0616773223
3648,Mahindra XUV500 W10 2WD,1350000,25000,Diesel,Individual,Manual,First Owner,16.0,2179.0,140.0,7.0,8,84375.0
3649,Volkswagen Ameo 1.5 TDI Comfortline,600000,40000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,7,27700.831024930747
3650,Hyundai Creta 1.6 CRDi SX Plus,1200000,25000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0,8,61006.60904931367
3651,Hyundai Grand i10 Sportz,550000,23456,Petrol,Dealer,Manual,First Owner,18.9,1197.0,82.0,5.0,8,29100.529100529104
3652,Mahindra XUV500 W10 2WD,1225000,39000,Diesel,Dealer,Manual,First Owner,16.0,2179.0,140.0,7.0,10,76562.5
3653,Honda WR-V i-VTEC S,700000,15000,Petrol,Individual,Manual,First Owner,17.5,1199.0,88.7,5.0,8,40000.0
3654,Maruti Swift Dzire VDI,530000,40000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,12,22649.572649572652
3655,Chevrolet Beat LT,150000,70000,Petrol,Individual,Manual,First Owner,18.6,1199.0,79.4,5.0,15,8064.516129032258
3656,Maruti Swift Dzire VXI,475000,40000,Petrol,Individual,Manual,First Owner,19.1,1197.0,85.8,5.0,11,24869.109947643978
3657,Mahindra Scorpio SLX 4WD,375000,136500,Diesel,Individual,Manual,Fourth & Above Owner,12.7,2609.0,120.0,8.0,17,29527.559055118112
3658,Mahindra KUV 100 mFALCON D75 K6 Plus,425000,70000,Diesel,Individual,Manual,Second Owner,25.32,1198.0,77.0,6.0,9,16785.15007898894
3659,Honda City i DTEC VX,800000,90000,Diesel,Individual,Manual,Second Owner,25.1,1498.0,98.6,5.0,10,31872.50996015936
3660,Maruti 800 DX,40000,32000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,29,2484.4720496894406
3661,Maruti Wagon R AMT VXI Option,509999,8000,Petrol,Individual,Automatic,Second Owner,20.51,998.0,67.0,5.0,7,24865.870307167235
3662,Toyota Etios Liva VD,387000,170000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.04,5.0,10,16405.256464603644
3663,Maruti Alto 800 VXI,235000,25000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,11,10334.212840809148
3664,Tata Sumo SE Plus BSII,95000,120000,Diesel,Individual,Manual,Fourth & Above Owner,12.2,1948.0,68.0,10.0,25,7786.88524590164
3665,Maruti Swift Vdi BSIII,340000,110000,Diesel,Individual,Manual,Third Owner,17.8,1248.0,75.0,5.0,15,19101.123595505618
3666,Mahindra XUV500 W6 2WD,1000000,100000,Diesel,Individual,Manual,First Owner,16.0,2179.0,140.0,7.0,9,62500.0
3667,Ford Ikon 1.4 TDCi DuraTorq,160000,115000,Diesel,Individual,Manual,Second Owner,13.8,1399.0,68.0,5.0,16,11594.202898550724
3668,Mahindra Scorpio SLX 4WD LE,365000,120000,Diesel,Individual,Manual,Fourth & Above Owner,12.7,2609.0,120.0,8.0,17,28740.157480314963
3669,Skoda Fabia 1.2L Diesel Elegance,300000,265000,Diesel,Individual,Manual,Second Owner,20.86,1199.0,75.0,5.0,14,14381.591562799616
3670,Maruti Swift Vdi BSIII,260000,90000,Diesel,Individual,Manual,Second Owner,17.8,1248.0,75.0,5.0,17,14606.741573033707
3671,Honda Jazz V CVT,860000,40000,Petrol,Individual,Automatic,First Owner,18.2,1199.0,88.7,5.0,7,47252.74725274726
3672,Hyundai Verna 1.6 Xi ABS,114999,55000,Petrol,Individual,Manual,Second Owner,13.9,1599.0,103.2,5.0,17,8273.309352517985
3673,Maruti Alto LXi,100000,90000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,18,5076.1421319796955
3674,Volkswagen Vento 1.5 TDI Highline,565000,111000,Diesel,Individual,Manual,First Owner,20.34,1498.0,103.2,5.0,11,27777.777777777777
3675,Mahindra Xylo E4 BS III,450000,120000,Diesel,Individual,Manual,Second Owner,11.68,2498.0,112.0,7.0,12,38527.397260273974
3676,Maruti Baleno Zeta 1.2,625000,15000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,8,29205.607476635516
3677,Maruti Alto 800 VXI,280000,30000,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,5.0,9,12313.104661389623
3678,Maruti Alto K10 VXI,330000,50000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5.0,8,13778.705636743216
3679,Hyundai Creta 1.6 CRDi Anniversary Edition,1300000,40000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0,10,66090.49313675647
3680,Tata Indica V2 GLX BSIII,65000,50000,Petrol,Individual,Manual,Second Owner,15.3,1396.0,70.0,5.0,17,4248.366013071895
3681,Tata Tiago 1.2 Revotron XZ,480000,45000,Petrol,Individual,Manual,Second Owner,23.84,1199.0,84.0,5.0,7,20134.228187919463
3682,Tata Tiago 1.05 Revotorq XZ,400000,35000,Diesel,Individual,Manual,Second Owner,27.28,1047.0,69.0,5.0,9,14662.756598240469
3683,Tata New Safari DICOR 2.2 GX 4x2,500000,80000,Diesel,Individual,Manual,First Owner,13.93,2179.0,138.0,7.0,16,35893.754486719314
3684,Mahindra Xylo E4 ABS BS IV,320000,120000,Diesel,Individual,Manual,First Owner,11.68,2498.0,112.0,7.0,13,27397.260273972603
3685,Mahindra XUV500 W8 2WD,750000,90000,Diesel,Individual,Manual,Second Owner,15.1,2179.0,140.0,7.0,11,49668.87417218543
3686,Mahindra Bolero Power Plus SLE,620000,100000,Diesel,Individual,Manual,First Owner,16.5,1493.0,70.0,7.0,8,37575.757575757576
3687,Maruti Swift Dzire ZDi,300000,120000,Diesel,Individual,Manual,Third Owner,19.3,1248.0,73.9,5.0,14,15544.041450777202
3688,Hyundai Creta 1.6 SX Option Executive,1405000,15000,Petrol,Individual,Manual,First Owner,15.8,1591.0,121.3,5.0,7,88924.05063291139
3689,Maruti Alto 800 LX,282000,15000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,8,11417.004048582996
3690,Maruti Swift Dzire AMT VXI,700000,15000,Petrol,Individual,Automatic,First Owner,21.21,1197.0,81.8,5.0,8,33003.300330033
3691,Ford Figo Aspire 1.5 TDCi Titanium,700000,70000,Diesel,Individual,Manual,First Owner,25.83,1498.0,99.0,5.0,8,27100.27100271003
3692,Ford EcoSport 1.5 TDCi Titanium BSIV,600000,135000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5.0,10,26350.461133069828
3693,Skoda Rapid 1.6 TDI Ambition,290000,80000,Diesel,Individual,Manual,Second Owner,20.5,1598.0,103.5,5.0,13,14146.341463414634
3694,Chevrolet Cruze LTZ AT,430000,80000,Diesel,Individual,Automatic,Second Owner,18.1,1991.0,147.9,4.0,14,23756.906077348063
3695,Hyundai i20 1.2 Magna Executive,575000,19000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,8,30913.978494623654
3696,Hyundai Creta 1.6 VTVT E Plus,875000,42000,Petrol,Individual,Manual,First Owner,15.29,1591.0,121.3,5.0,8,57226.945716154354
3697,Maruti Wagon R LXI BSIII,180000,77000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,5.0,15,9523.809523809525
3698,Maruti Ritz VDi,229999,120000,Diesel,Individual,Manual,First Owner,23.2,1248.0,73.94,5.0,13,9913.75
3699,Toyota Glanza G CVT,800000,10000,Petrol,Individual,Automatic,First Owner,19.56,1197.0,81.8,5.0,6,40899.7955010225
3700,Chevrolet Spark 1.0 LT Option Pack w/ Airbag,60000,110000,Petrol,Individual,Manual,Third Owner,16.5,995.0,63.0,5.0,16,3636.3636363636365
3701,Maruti SX4 Vxi BSIII,150000,110000,Petrol,Individual,Manual,First Owner,15.0,1586.0,104.68,5.0,16,10000.0
3702,Tata Indigo Grand Dicor,100000,90000,Diesel,Individual,Manual,Third Owner,23.57,1396.0,70.0,5.0,18,4242.681374628765
3703,Hyundai Creta 1.6 Gamma SX Plus,900000,90000,Petrol,Individual,Manual,First Owner,15.29,1591.0,121.3,5.0,10,58862.00130804448
3704,Hyundai i20 1.4 Asta Option,850000,50000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,7,37710.73646850044
3705,Chevrolet Beat Diesel LT,220000,50000,Diesel,Individual,Manual,First Owner,25.44,936.0,56.3,5.0,11,8647.798742138364
3706,Maruti Alto 800 LXI,250000,40000,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,5.0,11,10993.843447669306
3707,Tata Indica Vista Quadrajet LS,125000,120000,Diesel,Individual,Manual,First Owner,22.3,1248.0,74.0,5.0,13,5605.3811659192825
3708,Tata Tiago 1.2 Revotron XT,400000,40000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,5.0,8,16778.523489932886
3709,Maruti 800 Std,50000,62000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,4.0,23,3105.5900621118008
3710,Hyundai Verna VTVT 1.6 SX Option,1000000,10000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,7,58823.529411764706
3711,Honda City i DTEC VX,600000,160000,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,5.0,11,23904.38247011952
3712,Hyundai i20 1.2 Asta,250000,60000,Petrol,Individual,Manual,First Owner,17.0,1197.0,80.0,5.0,15,14705.882352941177
3713,Mahindra Bolero SLE,310000,110000,Diesel,Individual,Manual,First Owner,13.6,2523.0,63.0,7.0,16,22794.117647058825
3714,Maruti Wagon R VXI,120000,60000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,998.0,67.1,5.0,20,6349.20634920635
3715,Mahindra Xylo E4 BS III,390000,78000,Diesel,Individual,Manual,First Owner,11.68,2498.0,112.0,7.0,11,33390.41095890411
3716,Hyundai Santro Sportz BSIV,458000,30000,Petrol,Individual,Manual,First Owner,20.3,1086.0,68.0,5.0,6,22561.5763546798
3717,Ford EcoSport 1.5 Diesel Titanium BSIV,950000,20000,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5.0,7,41304.34782608696
3718,Maruti Swift Dzire VXI 1.2 BS IV,650000,21000,Petrol,Individual,Manual,First Owner,22.0,1197.0,81.8,5.0,8,29545.454545454544
3719,Maruti Swift Star VDI,400000,70000,Diesel,Individual,Manual,First Owner,22.9,1248.0,74.0,5.0,12,17467.248908296944
3720,Hyundai Grand i10 AT Asta,400000,70000,Petrol,Individual,Automatic,Second Owner,18.9,1197.0,82.0,5.0,10,21164.021164021167
3721,Maruti Alto LX,100000,42500,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5.0,19,5076.1421319796955
3722,Hyundai i10 Asta,350000,25000,Petrol,Individual,Manual,First Owner,20.36,1197.0,78.9,5.0,13,17190.56974459725
3723,Tata Aria Prestige 4x2,450000,80000,Diesel,Individual,Manual,Second Owner,13.7,2197.0,138.1,7.0,12,32846.71532846716
3724,Mahindra Scorpio 2.6 DX,350000,90000,Diesel,Individual,Manual,First Owner,12.7,2609.0,116.6,8.0,19,27559.05511811024
3725,Volkswagen Polo Diesel Trendline 1.2L,250000,80000,Diesel,Individual,Manual,Fourth & Above Owner,22.07,1199.0,73.9,5.0,15,11327.594019030357
3726,Mahindra Bolero 2011-2019 ZLX,450000,146000,Diesel,Individual,Manual,Second Owner,15.96,2523.0,62.1,7.0,12,28195.48872180451
3727,Maruti 800 AC BSIII,157000,47200,Petrol,Individual,Manual,Third Owner,16.1,796.0,37.0,4.0,12,9751.552795031055
3728,Mahindra XUV500 W11 Option BSIV,1500000,60000,Diesel,Individual,Manual,First Owner,15.1,2179.0,152.87,7.0,7,99337.74834437086
3729,Tata Indica GLS BS IV,75000,100000,Petrol,Individual,Manual,Second Owner,15.3,1193.0,65.3,5.0,18,4901.9607843137255
3730,Chevrolet Tavera B1-10 seats BSII,280000,100000,Diesel,Individual,Manual,Second Owner,14.8,2499.0,80.0,10.0,15,18918.918918918916
3731,Tata Sumo CX,250999,120000,Diesel,Individual,Manual,Fourth & Above Owner,15.3,2956.0,83.8,7.0,13,16405.16339869281
3732,Toyota Corolla Altis 1.8 Sport,350000,80000,Petrol,Individual,Manual,Second Owner,12.5,1794.0,132.0,5.0,15,28000.0
3733,Renault KWID 1.0 RXT Optional,300000,34000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0,9,13037.809647979138
3734,Renault Duster 85PS Diesel RxS,819999,50000,Diesel,Individual,Manual,First Owner,19.87,1461.0,83.8,5.0,8,41268.19325616507
3735,Tata Indigo TDI,409999,100000,Diesel,Individual,Manual,Second Owner,19.61,1405.0,70.0,5.0,15,20907.649158592554
3736,Hyundai Verna 1.6 Xi ABS,275000,52000,Petrol,Individual,Manual,Second Owner,13.9,1599.0,103.2,5.0,17,19784.172661870503
3737,Maruti Ertiga VDI,497000,110000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,7.0,12,23928.74337987482
3738,Hyundai i20 Asta 1.2,500000,70000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,10,26881.720430107525
3739,Mahindra Bolero 2011-2019 Camper,170000,120000,Diesel,Individual,Manual,Second Owner,14.0,2523.0,83.0,7.0,19,12142.857142857143
3740,Isuzu MUX 2WD,2700000,10000,Diesel,Individual,Automatic,First Owner,13.8,2999.0,174.57,7.0,6,195652.17391304346
3741,Ford EcoSport 1.5 Diesel Titanium BSIV,975000,30000,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5.0,6,42391.30434782609
3742,Ford Aspire Trend Plus,620000,15000,Petrol,Individual,Manual,First Owner,20.4,1194.0,94.93,5.0,7,30392.1568627451
3743,Honda City i-VTEC CVT ZX,1227000,5000,Petrol,Individual,Automatic,First Owner,18.0,1497.0,117.6,5.0,6,68166.66666666667
3744,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,950000,40000,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5.0,7,41304.34782608696
3745,MG Hector Smart DCT,1700000,16500,Petrol,Dealer,Automatic,First Owner,13.96,1451.0,141.0,5.0,6,121776.50429799427
3746,Maruti Ertiga VDI,545000,110000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,7.0,11,26239.768897448244
3747,Maruti Swift VDI,400000,72000,Diesel,Individual,Manual,First Owner,22.9,1248.0,74.0,5.0,14,17467.248908296944
3748,Maruti Baleno Sigma 1.3,562000,60000,Diesel,Individual,Manual,First Owner,27.39,1248.0,74.0,5.0,10,20518.437385907266
3749,Tata Sumo SE,96000,120000,Diesel,Individual,Manual,First Owner,14.07,2956.0,83.1,7.0,23,6823.027718550106
3750,Mitsubishi Lancer 2.0 LXd,155000,100000,Diesel,Individual,Manual,Third Owner,14.8,1998.0,68.0,5.0,26,10472.972972972973
